0.000,0.000,0.000,0.061,0.000,0.007,0.026,0.032,0.004,0
0.140,0.000,0.417,0.118,0.294,0.084,0.350,0.558,0.064,0
0.118,0.000,0.480,0.118,0.315,0.143,0.550,0.873,0.187,0
0.101,0.000,0.417,0.118,0.333,0.114,0.435,0.652,0.163,0
0.089,0.000,0.348,0.171,0.169,0.051,0.213,0.430,0.078,0
0.079,0.000,0.273,0.118,0.197,0.054,0.244,0.410,0.098,0
0.047,0.000,0.000,0.000,0.000,0.015,0.026,0.176,0.007,0
0.047,0.000,0.100,0.000,0.075,0.025,0.089,0.123,0.022,0
0.000,0.000,0.000,0.061,0.000,0.004,0.026,0.000,0.000,0
0.200,0.000,0.100,0.400,0.242,0.023,0.443,0.381,0.071,0
0.095,0.000,0.500,0.359,0.000,0.034,0.284,0.304,0.060,0
0.000,0.000,0.000,0.061,0.000,0.007,0.026,0.032,0.004,0
0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.000,0.000,0.000,0.171,0.109,0.007,0.113,0.282,0.018,0
0.000,0.000,0.100,0.000,0.039,0.000,0.039,0.063,0.004,0
0.000,0.000,0.000,0.000,0.000,0.004,0.026,0.000,0.004,0
0.000,0.000,0.000,0.000,0.000,0.004,0.026,0.000,0.004,0
0.000,1.000,0.000,0.118,0.000,0.007,0.026,0.032,0.004,0
0.175,0.000,0.000,0.167,0.113,0.014,0.089,0.257,0.026,0
0.162,0.000,0.500,0.429,0.295,0.037,0.509,0.549,0.147,0
0.000,1.000,0.000,0.118,0.000,0.007,0.026,0.032,0.004,0
0.000,0.000,0.000,0.061,0.000,0.000,0.013,0.000,0.000,0
0.111,1.000,0.273,0.054,0.267,0.031,0.368,0.586,0.088,0
0.125,1.000,0.435,0.680,0.592,0.086,0.545,0.761,0.205,0
0.189,1.000,0.190,0.171,0.115,0.038,0.147,0.179,0.064,0
0.111,1.000,0.273,0.350,0.369,0.053,0.451,0.660,0.092,0
0.000,1.000,0.000,0.171,0.078,0.035,0.101,0.179,0.033,0
0.000,1.000,0.000,0.270,0.078,0.045,0.147,0.232,0.061,0
0.147,1.000,0.100,0.061,0.115,0.031,0.147,0.247,0.033,0
0.111,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.111,1.000,0.480,0.103,0.377,0.076,0.527,0.707,0.134,0
0.061,1.000,0.000,0.000,0.041,0.018,0.052,0.063,0.011,0
0.162,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.140,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.156,1.000,0.667,0.350,0.394,0.073,0.549,0.661,0.257,0
0.160,0.000,0.585,0.238,0.420,0.079,0.581,0.816,0.268,0
0.164,0.000,0.273,0.061,0.241,0.030,0.202,0.350,0.068,0
0.180,0.000,0.000,0.000,0.113,0.011,0.124,0.094,0.026,0
0.185,0.000,0.273,0.400,0.211,0.027,0.244,0.427,0.064,0
0.100,1.000,0.190,0.316,0.115,0.027,0.159,0.434,0.075,0
0.154,1.000,0.000,0.054,0.118,0.021,0.147,0.119,0.050,0
0.100,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.100,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.075,0.000,0.190,0.000,0.000,0.004,0.039,0.032,0.011,0
0.118,0.000,0.000,0.000,0.115,0.024,0.181,0.174,0.064,0
0.107,1.000,0.000,0.000,0.080,0.014,0.101,0.123,0.029,0
0.107,0.000,0.190,0.000,0.078,0.021,0.101,0.176,0.043,0
0.190,1.000,0.000,0.061,0.115,0.018,0.124,0.152,0.026,0
0.100,1.000,0.190,0.061,0.077,0.031,0.170,0.169,0.061,0
0.182,0.000,0.190,0.118,0.145,0.027,0.170,0.333,0.075,0
0.211,1.000,0.000,0.000,0.000,0.000,0.013,0.032,0.000,0
0.151,1.000,0.190,0.057,0.113,0.018,0.147,0.247,0.029,0
0.211,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.211,1.000,0.000,0.000,0.000,0.000,0.013,0.032,0.000,0
0.115,1.000,0.348,0.205,0.281,0.039,0.331,0.574,0.068,0
0.103,1.000,0.000,0.059,0.115,0.007,0.124,0.179,0.018,0
0.170,1.000,0.000,0.000,0.115,0.014,0.113,0.063,0.011,0
0.131,1.000,0.100,0.263,0.388,0.041,0.505,0.536,0.095,0
0.126,1.000,0.000,0.000,0.041,0.004,0.039,0.032,0.004,0
0.125,1.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0
0.136,1.000,0.000,0.118,0.151,0.017,0.181,0.206,0.043,0
0.000,1.000,0.682,0.131,0.637,0.110,0.820,0.620,0.452,0
0.051,0.000,0.385,0.429,0.472,0.063,0.485,0.581,0.088,0
0.098,0.000,0.190,0.263,0.185,0.034,0.357,0.270,0.057,0
0.137,0.000,0.000,0.171,0.364,0.045,0.517,0.405,0.075,0
0.000,0.000,0.000,0.667,0.095,0.000,0.118,0.077,0.105,0
0.000,0.000,0.000,0.667,0.048,0.000,0.065,0.040,0.035,0
0.000,0.000,0.000,0.667,0.065,0.000,0.091,0.063,0.041,0
0.000,0.000,0.000,0.500,0.167,0.000,0.200,0.105,0.087,0
0.000,0.000,0.000,0.667,0.143,0.000,0.174,0.111,0.069,0
0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.250,0.667,0
0.000,0.000,0.000,0.000,0.333,0.000,0.444,0.400,0.286,0
1.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0
0.000,1.000,0.000,0.222,0.105,0.000,0.089,0.083,0.091,0
0.000,1.000,0.000,0.250,0.500,0.038,0.148,0.105,0.095,0
1.000,1.000,0.000,1.000,1.000,0.667,1.000,1.000,1.000,0
1.000,0.000,0.000,0.000,1.000,0.000,0.667,0.000,0.000,0
