0.036,0.000,0.000,0.400,0.130,0.097,0.177,0.222,0.176,0
0.222,0.000,0.000,0.000,0.045,0.052,0.105,0.171,0.194,0
0.179,0.000,0.000,0.000,0.045,0.053,0.105,0.171,0.176,0
0.135,0.000,0.000,0.000,0.089,0.052,0.105,0.171,0.212,0
0.000,0.000,0.000,0.000,0.044,0.043,0.200,0.171,0.121,0
0.486,0.000,0.000,0.000,0.087,0.034,0.054,0.118,0.042,0
0.122,0.000,0.308,0.154,0.400,0.072,0.667,0.746,0.735,0
0.122,0.000,0.000,0.400,0.130,0.065,0.105,0.270,0.082,0
0.179,0.000,0.000,0.000,0.089,0.044,0.154,0.000,0.102,0
0.222,0.000,0.667,0.167,0.269,0.117,0.515,0.667,0.437,0
0.135,0.000,0.000,0.400,0.167,0.060,0.177,0.270,0.278,0
0.214,0.000,0.000,0.000,0.045,0.000,0.027,0.000,0.000,0
0.222,0.000,0.500,0.250,0.291,0.107,0.400,0.638,0.192,0
0.214,0.000,0.667,0.250,0.291,0.107,0.382,0.638,0.194,0
0.179,0.000,0.667,0.250,0.357,0.111,0.435,0.694,0.294,0
0.154,0.000,0.667,0.250,0.327,0.138,0.418,0.667,0.294,0
0.135,0.000,0.667,0.250,0.291,0.105,0.382,0.638,0.245,0
0.000,0.000,0.000,0.000,0.045,0.012,0.027,0.000,0.000,0
0.000,0.000,0.667,0.000,0.235,0.030,0.264,0.426,0.158,0
0.000,0.000,0.000,0.000,0.045,0.012,0.027,0.000,0.000,0
0.000,0.000,0.000,0.000,0.045,0.000,0.027,0.000,0.000,0
0.222,0.000,0.000,0.000,0.045,0.000,0.027,0.000,0.000,0
0.000,0.000,0.800,0.182,0.208,0.246,0.306,0.545,0.278,0
0.195,0.000,0.571,0.000,0.208,0.081,0.306,0.604,0.158,0
0.091,0.000,0.571,0.000,0.245,0.106,0.345,0.655,0.229,0
0.179,0.000,1.000,0.125,0.522,0.124,0.806,0.714,0.652,0
0.036,0.000,0.000,0.400,0.045,0.096,0.154,0.118,0.158,0
0.039,0.000,0.000,0.000,0.000,0.023,0.027,0.061,0.000,0
0.075,0.000,0.000,0.000,0.045,0.000,0.027,0.061,0.021,0
0.140,0.000,0.667,0.200,0.196,0.100,0.387,0.774,0.383,0
0.024,1.000,0.000,0.000,0.500,0.000,0.727,0.857,0.842,0
0.029,1.000,0.000,0.000,0.500,0.000,0.727,0.857,0.889,0
0.022,0.000,0.000,0.000,0.400,0.000,0.727,0.857,0.800,0
0.000,1.000,0.000,0.000,0.400,0.207,0.933,0.571,0.800,0
0.053,0.000,0.000,0.000,0.333,0.200,0.444,0.667,0.364,0
0.200,1.000,0.000,0.200,0.267,0.016,0.326,0.205,0.286,0
0.200,1.000,0.000,1.000,0.667,0.074,0.727,0.889,0.615,0
0.029,1.000,0.000,0.000,0.800,0.000,0.769,0.000,0.714,0
0.024,1.000,0.000,0.222,0.500,0.122,0.389,0.250,0.514,0
0.022,0.000,0.000,1.000,0.500,0.000,0.714,0.889,0.750,0
0.035,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0
0.043,0.000,0.000,0.400,0.133,0.083,0.560,0.421,0.700,0
0.035,0.000,0.000,0.400,0.133,0.082,0.583,0.421,0.842,0
0.029,0.000,0.000,0.400,0.125,0.068,0.519,0.381,0.720,0
0.025,0.000,0.000,0.400,0.267,0.067,0.538,0.400,0.720,0
0.022,0.000,0.000,0.400,0.133,0.077,0.583,0.421,0.818,0
0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0
0.000,0.000,0.000,0.000,0.364,0.182,0.538,0.421,0.824,0
0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0
0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0
0.043,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0
0.000,1.000,0.000,0.250,0.250,0.087,0.700,0.500,0.750,0
0.095,0.000,0.000,0.000,0.250,0.200,0.700,0.320,0.706,0
0.089,0.000,0.000,0.000,0.222,0.160,0.636,0.267,0.571,0
0.029,1.000,0.000,0.154,0.207,0.024,0.219,0.143,0.333,0
1.000,1.000,0.000,1.000,0.500,0.839,0.923,0.667,0.941,0
0.385,1.000,0.000,0.000,0.000,0.000,0.250,0.400,0.000,0
0.148,1.000,0.000,0.000,0.500,0.000,0.250,0.400,0.200,0
0.182,0.000,0.000,0.286,0.545,0.048,0.500,0.235,0.516,0
0.830,1.000,0.000,0.000,1.000,0.947,1.000,1.000,0.947,0
0.776,0.000,0.000,0.000,0.667,0.950,1.000,1.000,0.952,0
0.000,1.000,0.000,0.000,0.000,0.000,0.667,0.667,0.625,0
0.125,0.000,0.000,0.000,0.000,0.000,0.667,0.800,0.333,0
0.053,1.000,0.000,0.000,0.154,0.016,0.200,0.158,0.313,0
0.053,1.000,0.000,0.000,0.500,0.000,1.000,0.750,0.571,0
0.830,1.000,0.000,0.000,0.667,0.400,0.800,0.000,0.667,0
1.000,1.000,0.000,0.000,0.200,0.227,0.242,0.194,0.556,0
0.776,0.000,0.000,0.000,0.333,0.292,0.727,0.750,0.800,0
0.675,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0
0.472,0.000,0.000,0.000,0.000,0.148,0.364,0.333,0.571,0
0.675,0.000,0.000,0.000,0.000,0.182,0.381,0.333,0.700,0
0.830,0.000,0.000,0.000,0.000,0.215,0.333,0.300,0.769,0
0.876,0.000,0.000,0.000,0.154,0.242,0.348,0.316,0.769,0
0.776,0.000,0.000,0.000,0.000,0.241,0.381,0.333,0.870,0
0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0
0.000,0.000,0.000,0.000,0.222,0.000,0.348,0.333,0.889,0
0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0
0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0
0.472,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0
0.000,1.000,0.000,0.000,0.000,0.115,0.471,0.400,0.800,0
